Unnamed: 0.1,Unnamed: 0,id,game,team_name,week,date,hour,duration,winner,mvp
42,0,https://ph-mpl.com/data/match/tnc-echo-20220226,game2,TNC,2,2022-02-26,16:00:00,23:45,1,Kramm
43,1,https://ph-mpl.com/data/match/tnc-echo-20220226,game2,ECHO,2,2022-02-26,16:00:00,23:45,0,Kramm
44,0,https://ph-mpl.com/data/match/tnc-echo-20220226,game3,ECHO,2,2022-02-26,16:00:00,13:51,1,Bennyqt
45,1,https://ph-mpl.com/data/match/tnc-echo-20220226,game3,TNC,2,2022-02-26,16:00:00,13:51,0,Bennyqt
46,0,https://ph-mpl.com/data/match/onic-bren-20220226,game1,ONIC,2,2022-02-26,18:00:00,16:21,1,Kairi.
47,1,https://ph-mpl.com/data/match/onic-bren-20220226,game1,BREN,2,2022-02-26,18:00:00,16:21,0,Kairi.
48,0,https://ph-mpl.com/data/match/onic-bren-20220226,game2,BREN,2,2022-02-26,18:00:00,18:16,0,Markyyyyy
49,1,https://ph-mpl.com/data/match/onic-bren-20220226,game2,ONIC,2,2022-02-26,18:00:00,18:16,1,Markyyyyy
50,0,https://ph-mpl.com/data/match/omg-rsg-20220226,game1,RSG,2,2022-02-26,20:00:00,20:39,1,Demonkite
51,1,https://ph-mpl.com/data/match/omg-rsg-20220226,game1,OMG,2,2022-02-26,20:00:00,20:39,0,Demonkite
52,0,https://ph-mpl.com/data/match/omg-rsg-20220226,game2,RSG,2,2022-02-26,20:00:00,15:58,1,Aqua
53,1,https://ph-mpl.com/data/match/omg-rsg-20220226,game2,OMG,2,2022-02-26,20:00:00,15:58,0,Aqua
54,0,https://ph-mpl.com/data/match/blck-echo-20220227,game1,ECHO,2,2022-02-27,16:00:00,15:31,1,KarlTzy
55,1,https://ph-mpl.com/data/match/blck-echo-20220227,game1,BLCK,2,2022-02-27,16:00:00,15:31,0,KarlTzy
56,0,https://ph-mpl.com/data/match/blck-echo-20220227,game2,ECHO,2,2022-02-27,16:00:00,14:19,1,KurtTzy
57,1,https://ph-mpl.com/data/match/blck-echo-20220227,game2,BLCK,2,2022-02-27,16:00:00,14:19,0,KurtTzy
58,0,https://ph-mpl.com/data/match/nxpe-bren-20220227,game1,NXPE,2,2022-02-27,18:00:00,14:12,1,MP the King
59,1,https://ph-mpl.com/data/match/nxpe-bren-20220227,game1,BREN,2,2022-02-27,18:00:00,14:12,0,MP the King
60,0,https://ph-mpl.com/data/match/nxpe-bren-20220227,game2,BREN,2,2022-02-27,18:00:00,14:22,0,URESHIII
61,1,https://ph-mpl.com/data/match/nxpe-bren-20220227,game2,NXPE,2,2022-02-27,18:00:00,14:22,1,URESHIII
62,0,https://ph-mpl.com/data/match/tnc-rsg-20220304,game1,TNC,3,2022-03-04,18:00:00,19:21,1,Benthings
63,1,https://ph-mpl.com/data/match/tnc-rsg-20220304,game1,RSG,3,2022-03-04,18:00:00,19:21,0,Benthings
64,0,https://ph-mpl.com/data/match/tnc-rsg-20220304,game2,RSG,3,2022-03-04,18:00:00,14:25,0,Benthings
65,1,https://ph-mpl.com/data/match/tnc-rsg-20220304,game2,TNC,3,2022-03-04,18:00:00,14:25,1,Benthings
66,0,https://ph-mpl.com/data/match/onic-omg-20220304,game1,ONIC,3,2022-03-04,20:00:00,15:06,0,E2MAX
67,1,https://ph-mpl.com/data/match/onic-omg-20220304,game1,OMG,3,2022-03-04,20:00:00,15:06,1,E2MAX
68,0,https://ph-mpl.com/data/match/onic-omg-20220304,game2,ONIC,3,2022-03-04,20:00:00,22:58,1,Markyyyyy
69,1,https://ph-mpl.com/data/match/onic-omg-20220304,game2,OMG,3,2022-03-04,20:00:00,22:58,0,Markyyyyy
70,0,https://ph-mpl.com/data/match/onic-omg-20220304,game3,ONIC,3,2022-03-04,20:00:00,19:12,0,Kelra
71,1,https://ph-mpl.com/data/match/onic-omg-20220304,game3,OMG,3,2022-03-04,20:00:00,19:12,1,Kelra
72,0,https://ph-mpl.com/data/match/blck-bren-20220305,game1,BREN,3,2022-03-05,16:00:00,24:23,0,Kevier
73,1,https://ph-mpl.com/data/match/blck-bren-20220305,game1,BLCK,3,2022-03-05,16:00:00,24:23,1,Kevier
74,0,https://ph-mpl.com/data/match/blck-bren-20220305,game2,BREN,3,2022-03-05,16:00:00,24:52,0,EDWARD
75,1,https://ph-mpl.com/data/match/blck-bren-20220305,game2,BLCK,3,2022-03-05,16:00:00,24:52,1,EDWARD
76,0,https://ph-mpl.com/data/match/echo-rsg-20220305,game1,RSG,3,2022-03-05,18:00:00,16:53,0,KarlTzy
77,1,https://ph-mpl.com/data/match/echo-rsg-20220305,game1,ECHO,3,2022-03-05,18:00:00,16:53,1,KarlTzy
78,0,https://ph-mpl.com/data/match/echo-rsg-20220305,game2,ECHO,3,2022-03-05,18:00:00,18:46,1,KurtTzy
79,1,https://ph-mpl.com/data/match/echo-rsg-20220305,game2,RSG,3,2022-03-05,18:00:00,18:46,0,KurtTzy
80,0,https://ph-mpl.com/data/match/nxpe-omg-20220305,game1,OMG,3,2022-03-05,20:00:00,14:53,1,Raizen
