Unnamed: 0,id,game,team_name,total_kills,total_assists,total_deaths,total_gold,gold_min,total_damage,damage_min,red_buff,blue_buff,lord_kill,tortoise_kill,tower_destroy
1,https://ph-mpl.com/data/match/blck-omg-20220409,game2,OMG,19,38,13,"88,722","2,988","465,428","15,679",13,17,4,2,9
0,https://ph-mpl.com/data/match/blck-onic-20220218,game1,ONIC,14,35,6,"48,904","3,488","152,064","10,848",10,11,2,3,8
1,https://ph-mpl.com/data/match/blck-onic-20220218,game1,BLCK,6,13,14,"37,033","2,642","78,324","5,587",4,4,0,0,2
0,https://ph-mpl.com/data/match/blck-onic-20220218,game2,ONIC,12,34,12,"73,280","2,707","309,702","11,442",11,11,0,2,4
1,https://ph-mpl.com/data/match/blck-onic-20220218,game2,BLCK,12,24,12,"79,895","2,951","251,501","9,291",16,18,4,0,9
0,https://ph-mpl.com/data/match/blck-onic-20220218,game3,ONIC,22,48,12,"73,464","3,069","336,715","14,068",14,17,3,2,9
1,https://ph-mpl.com/data/match/blck-onic-20220218,game3,BLCK,12,31,22,"69,247","2,893","262,029","10,948",11,10,1,0,3
0,https://ph-mpl.com/data/match/blck-onic-20220318,game1,ONIC,15,34,17,"61,810","3,323","205,413","11,043",10,11,2,1,8
1,https://ph-mpl.com/data/match/blck-onic-20220318,game1,BLCK,17,42,15,"55,645","2,991","227,954","12,255",9,9,1,2,7
0,https://ph-mpl.com/data/match/blck-onic-20220318,game2,BLCK,11,26,7,"52,932","3,274","151,471","9,369",10,12,2,3,8
1,https://ph-mpl.com/data/match/blck-onic-20220318,game2,ONIC,7,17,11,"45,290","2,801","160,486","9,926",5,6,0,0,1
0,https://ph-mpl.com/data/match/blck-onic-20220318,game3,BLCK,9,19,15,"87,089","2,835","244,162","7,948",11,13,0,0,3
1,https://ph-mpl.com/data/match/blck-onic-20220318,game3,ONIC,15,30,9,"101,701","3,310","215,480","7,015",18,21,6,3,9
0,https://ph-mpl.com/data/match/blck-rsg-20220306,game1,RSG,14,28,2,"49,363","3,542","158,178","11,352",7,12,2,2,8
1,https://ph-mpl.com/data/match/blck-rsg-20220306,game1,BLCK,2,4,14,"37,284","2,675","86,748","6,225",6,3,0,0,2
0,https://ph-mpl.com/data/match/blck-rsg-20220306,game2,RSG,4,8,10,"42,592","2,753","168,199","10,874",9,6,0,1,2
1,https://ph-mpl.com/data/match/blck-rsg-20220306,game2,BLCK,10,32,4,"52,132","3,370","151,881","9,819",7,12,2,2,9
0,https://ph-mpl.com/data/match/blck-rsg-20220306,game3,RSG,9,20,6,"45,320","3,260","157,500","11,330",6,9,2,0,7
1,https://ph-mpl.com/data/match/blck-rsg-20220306,game3,BLCK,6,14,9,"39,022","2,807","114,115","8,209",8,7,0,3,4
0,https://ph-mpl.com/data/match/blck-rsg-20220403,game1,RSG,22,54,8,"66,942","3,276","294,559","14,415",11,14,2,2,8
1,https://ph-mpl.com/data/match/blck-rsg-20220403,game1,BLCK,8,17,22,"56,008","2,741","171,763","8,406",7,10,0,1,3
0,https://ph-mpl.com/data/match/blck-rsg-20220403,game2,RSG,6,11,17,"38,802","2,899","149,338","11,158",6,6,1,0,2
1,https://ph-mpl.com/data/match/blck-rsg-20220403,game2,BLCK,17,35,6,"42,730","3,192","201,357","15,045",6,8,0,3,5
0,https://ph-mpl.com/data/match/blck-rsg-20220403,game3,RSG,7,12,12,"34,220","2,741","165,785","13,280",3,5,0,1,1
1,https://ph-mpl.com/data/match/blck-rsg-20220403,game3,BLCK,12,22,7,"42,770","3,426","171,785","13,761",8,8,1,2,8
0,https://ph-mpl.com/data/match/blck-tnc-20220219,game1,TNC,15,30,5,"56,527","3,525","139,819","8,720",8,11,3,3,7
1,https://ph-mpl.com/data/match/blck-tnc-20220219,game1,BLCK,5,12,15,"41,127","2,565","122,862","7,662",9,7,0,0,1
0,https://ph-mpl.com/data/match/blck-tnc-20220219,game2,TNC,12,21,13,"61,058","3,256","195,483","10,425",11,13,3,3,9
1,https://ph-mpl.com/data/match/blck-tnc-20220219,game2,BLCK,13,20,12,"57,774","3,081","157,277","8,388",7,5,0,0,4
0,https://ph-mpl.com/data/match/blck-tnc-20220319,game1,BLCK,21,46,11,"72,148","3,067","317,555","13,503",11,13,2,3,8
1,https://ph-mpl.com/data/match/blck-tnc-20220319,game1,TNC,11,21,21,"68,483","2,912","231,995","9,865",11,10,2,0,5
0,https://ph-mpl.com/data/match/blck-tnc-20220319,game2,TNC,16,33,5,"54,460","3,303","208,595","12,654",7,10,1,0,9
1,https://ph-mpl.com/data/match/blck-tnc-20220319,game2,BLCK,5,7,16,"48,276","2,928","153,640","9,320",8,8,1,3,3
0,https://ph-mpl.com/data/match/blck-tnc-20220319,game3,TNC,14,34,2,"50,956","3,490","179,710","12,308",6,8,2,2,8
1,https://ph-mpl.com/data/match/blck-tnc-20220319,game3,BLCK,2,7,14,"38,015","2,603","74,408","5,096",8,7,0,1,2
0,https://ph-mpl.com/data/match/bren-echo-20220219,game1,ECHO,21,50,13,"57,537","3,253","270,677","15,306",7,13,1,2,9
1,https://ph-mpl.com/data/match/bren-echo-20220219,game1,BREN,13,27,21,"50,574","2,859","179,308","10,139",8,6,1,1,4
0,https://ph-mpl.com/data/match/bren-echo-20220219,game2,BREN,5,8,12,"36,754","2,549","118,067","8,189",6,6,0,0,2
1,https://ph-mpl.com/data/match/bren-echo-20220219,game2,ECHO,12,35,5,"47,181","3,272","188,885","13,101",8,9,2,3,7
0,https://ph-mpl.com/data/match/bren-echo-20220319,game1,BREN,19,42,11,"56,101","3,362","203,682","12,208",10,15,2,3,9
1,https://ph-mpl.com/data/match/bren-echo-20220319,game1,ECHO,11,23,19,"47,217","2,830","233,033","13,968",4,4,0,0,0
0,https://ph-mpl.com/data/match/bren-echo-20220319,game2,ECHO,12,22,19,"56,162","2,822","166,078","8,345",9,10,1,0,9
1,https://ph-mpl.com/data/match/bren-echo-20220319,game2,BREN,19,54,12,"63,299","3,180","275,837","13,861",9,12,2,3,9
0,https://ph-mpl.com/data/match/bren-omg-20220311,game1,OMG,2,1,12,"45,652","2,649","153,297","8,895",7,8,0,2,3
1,https://ph-mpl.com/data/match/bren-omg-20220311,game1,BREN,12,28,2,"56,127","3,256","189,667","11,005",10,11,2,1,8
0,https://ph-mpl.com/data/match/bren-omg-20220311,game2,OMG,22,48,10,"54,210","3,614","234,409","15,627",7,12,2,2,9
1,https://ph-mpl.com/data/match/bren-omg-20220311,game2,BREN,10,20,22,"43,180","2,878","162,523","10,834",6,4,0,1,1
0,https://ph-mpl.com/data/match/bren-omg-20220311,game3,BREN,15,30,14,"69,443","3,166","332,824","15,174",11,11,3,2,7
1,https://ph-mpl.com/data/match/bren-omg-20220311,game3,OMG,14,24,15,"67,075","3,058","222,144","10,128",10,13,1,1,5
0,https://ph-mpl.com/data/match/bren-omg-20220408,game1,OMG,11,32,7,"60,582","2,940","204,128","9,909",6,9,0,0,6
1,https://ph-mpl.com/data/match/bren-omg-20220408,game1,BREN,7,18,11,"60,450","2,934","217,762","10,570",14,13,3,3,7
0,https://ph-mpl.com/data/match/bren-omg-20220408,game2,OMG,15,35,20,"63,730","2,803","381,885","16,798",10,11,1,0,8
1,https://ph-mpl.com/data/match/bren-omg-20220408,game2,BREN,20,51,15,"68,730","3,023","370,042","16,277",9,12,1,3,7
0,https://ph-mpl.com/data/match/bren-omg-20220408,game3,BREN,11,23,17,"40,505","2,627","167,946","10,893",6,5,0,1,2
1,https://ph-mpl.com/data/match/bren-omg-20220408,game3,OMG,17,40,11,"49,926","3,238","204,822","13,285",7,10,2,2,9
0,https://ph-mpl.com/data/match/bren-tnc-20220313,game1,BREN,10,22,16,"78,892","3,105","231,625","9,119",12,7,2,0,8
1,https://ph-mpl.com/data/match/bren-tnc-20220313,game1,TNC,16,30,10,"85,451","3,364","373,289","14,696",12,20,3,3,8
0,https://ph-mpl.com/data/match/bren-tnc-20220313,game2,BREN,7,9,16,"47,233","2,681","151,947","8,625",7,6,0,0,1
1,https://ph-mpl.com/data/match/bren-tnc-20220313,game2,TNC,16,25,7,"60,351","3,425","200,081","11,357",9,11,3,3,9
0,https://ph-mpl.com/data/match/bren-tnc-20220410,game1,BREN,14,34,11,"61,553","3,225","212,495","11,135",9,8,3,0,8
